0,1,2,3,4,5,6,
0,1,2,3,4,6,7,
0,1,2,3,4,6,8,
0,1,2,3,5,6,9,
0,1,2,3,6,7,9,
0,1,2,3,6,8,9,
0,1,2,3,5,6,10,
0,1,2,3,6,7,10,
0,1,2,3,6,8,10,
0,1,2,4,5,6,11,
0,1,2,4,6,7,11,
0,1,2,4,6,8,11,
0,1,2,5,6,9,11,
0,1,2,6,7,9,11,
0,1,2,6,8,9,11,
0,1,2,5,6,10,11,
0,1,2,6,7,10,11,
0,1,2,6,8,10,11,
0,1,2,4,5,6,12,
0,1,2,4,6,7,12,
0,1,2,4,6,8,12,
0,1,2,5,6,9,12,
0,1,2,6,7,9,12,
0,1,2,6,8,9,12,
0,1,2,5,6,10,12,
0,1,2,6,7,10,12,
0,1,2,6,8,10,12,
0,1,3,4,5,6,13,
0,1,3,4,6,7,13,
0,1,3,4,6,8,13,
0,1,3,5,6,9,13,
0,1,3,6,7,9,13,
0,1,3,6,8,9,13,
0,1,3,5,6,10,13,
0,1,3,6,7,10,13,
0,1,3,6,8,10,13,
0,1,4,5,6,11,13,
0,1,4,6,7,11,13,
0,1,4,6,8,11,13,
0,1,5,6,9,11,13,
0,1,6,7,9,11,13,
0,1,6,8,9,11,13,
0,1,5,6,10,11,13,
0,1,6,7,10,11,13,
0,1,6,8,10,11,13,
0,1,4,5,6,12,13,
0,1,4,6,7,12,13,
0,1,4,6,8,12,13,
0,1,5,6,9,12,13,
0,1,6,7,9,12,13,
0,1,6,8,9,12,13,
0,1,5,6,10,12,13,
0,1,6,7,10,12,13,
0,1,6,8,10,12,13,
0,1,3,4,5,6,14,
0,1,3,4,6,7,14,
0,1,3,4,6,8,14,
0,1,3,5,6,9,14,
0,1,3,6,7,9,14,
0,1,3,6,8,9,14,
0,1,3,5,6,10,14,
0,1,3,6,7,10,14,
0,1,3,6,8,10,14,
0,1,4,5,6,11,14,
0,1,4,6,7,11,14,
0,1,4,6,8,11,14,
0,1,5,6,9,11,14,
0,1,6,7,9,11,14,
0,1,6,8,9,11,14,
0,1,5,6,10,11,14,
0,1,6,7,10,11,14,
0,1,6,8,10,11,14,
0,1,4,5,6,12,14,
0,1,4,6,7,12,14,
0,1,4,6,8,12,14,
0,1,5,6,9,12,14,
0,1,6,7,9,12,14,
0,1,6,8,9,12,14,
0,1,5,6,10,12,14,
0,1,6,7,10,12,14,
0,1,6,8,10,12,14,
0,1,3,4,5,6,15,
0,1,3,4,6,7,15,
0,1,3,4,6,8,15,
0,1,3,5,6,9,15,
0,1,3,6,7,9,15,
0,1,3,6,8,9,15,
0,1,3,5,6,10,15,
0,1,3,6,7,10,15,
0,1,3,6,8,10,15,
0,1,4,5,6,11,15,
0,1,4,6,7,11,15,
0,1,4,6,8,11,15,
0,1,5,6,9,11,15,
0,1,6,7,9,11,15,
0,1,6,8,9,11,15,
0,1,5,6,10,11,15,
0,1,6,7,10,11,15,
0,1,6,8,10,11,15,
0,1,4,5,6,12,15,
0,1,4,6,7,12,15,
0,1,4,6,8,12,15,
0,1,5,6,9,12,15,
0,1,6,7,9,12,15,
0,1,6,8,9,12,15,
0,1,5,6,10,12,15,
0,1,6,7,10,12,15,
0,1,6,8,10,12,15,
0,2,3,4,5,6,16,
0,2,3,4,6,7,16,
0,2,3,4,6,8,16,
0,2,3,5,6,9,16,
0,2,3,6,7,9,16,
0,2,3,6,8,9,16,
0,2,3,5,6,10,16,
0,2,3,6,7,10,16,
0,2,3,6,8,10,16,
0,2,4,5,6,11,16,
0,2,4,6,7,11,16,
0,2,4,6,8,11,16,
0,2,5,6,9,11,16,
0,2,6,7,9,11,16,
0,2,6,8,9,11,16,
0,2,5,6,10,11,16,
0,2,6,7,10,11,16,
0,2,6,8,10,11,16,
0,2,4,5,6,12,16,
0,2,4,6,7,12,16,
0,2,4,6,8,12,16,
0,2,5,6,9,12,16,
0,2,6,7,9,12,16,
0,2,6,8,9,12,16,
0,2,5,6,10,12,16,
0,2,6,7,10,12,16,
0,2,6,8,10,12,16,
0,3,4,5,6,13,16,
0,3,4,6,7,13,16,
0,3,4,6,8,13,16,
0,3,5,6,9,13,16,
0,3,6,7,9,13,16,
0,3,6,8,9,13,16,
0,3,5,6,10,13,16,
0,3,6,7,10,13,16,
0,3,6,8,10,13,16,
0,4,5,6,11,13,16,
0,4,6,7,11,13,16,
0,4,6,8,11,13,16,
0,5,6,9,11,13,16,
0,6,7,9,11,13,16,
0,6,8,9,11,13,16,
0,5,6,10,11,13,16,
0,6,7,10,11,13,16,
0,6,8,10,11,13,16,
0,4,5,6,12,13,16,
0,4,6,7,12,13,16,
0,4,6,8,12,13,16,
0,5,6,9,12,13,16,
0,6,7,9,12,13,16,
0,6,8,9,12,13,16,
0,5,6,10,12,13,16,
0,6,7,10,12,13,16,
0,6,8,10,12,13,16,
0,3,4,5,6,14,16,
0,3,4,6,7,14,16,
0,3,4,6,8,14,16,
0,3,5,6,9,14,16,
0,3,6,7,9,14,16,
0,3,6,8,9,14,16,
0,3,5,6,10,14,16,
0,3,6,7,10,14,16,
0,3,6,8,10,14,16,
0,4,5,6,11,14,16,
0,4,6,7,11,14,16,
0,4,6,8,11,14,16,
0,5,6,9,11,14,16,
0,6,7,9,11,14,16,
0,6,8,9,11,14,16,
0,5,6,10,11,14,16,
0,6,7,10,11,14,16,
0,6,8,10,11,14,16,
0,4,5,6,12,14,16,
0,4,6,7,12,14,16,
0,4,6,8,12,14,16,
0,5,6,9,12,14,16,
0,6,7,9,12,14,16,
0,6,8,9,12,14,16,
0,5,6,10,12,14,16,
0,6,7,10,12,14,16,
0,6,8,10,12,14,16,
0,3,4,5,6,15,16,
0,3,4,6,7,15,16,
0,3,4,6,8,15,16,
0,3,5,6,9,15,16,
0,3,6,7,9,15,16,
0,3,6,8,9,15,16,
0,3,5,6,10,15,16,
0,3,6,7,10,15,16,
0,3,6,8,10,15,16,
0,4,5,6,11,15,16,
0,4,6,7,11,15,16,
0,4,6,8,11,15,16,
0,5,6,9,11,15,16,
0,6,7,9,11,15,16,
0,6,8,9,11,15,16,
0,5,6,10,11,15,16,
0,6,7,10,11,15,16,
0,6,8,10,11,15,16,
0,4,5,6,12,15,16,
0,4,6,7,12,15,16,
0,4,6,8,12,15,16,
0,5,6,9,12,15,16,
0,6,7,9,12,15,16,
0,6,8,9,12,15,16,
